year,amministration_invest,social_invest,environment_invest,transport_invest,education_invest,culture_invest,sport_invest,tourism_invest,economic_invest,sevice_invest,police_invest,justice_invest,orientation
2008,37.76,8.52,13.97,24.38,6.44,1.49,3.07,0.2,0.22,0.0,2.28,1.59,Right
2009,28.13,3.46,14.78,33.61,6.44,4.41,5.36,0.26,2.15,0.0,0.94,0.33,Right
2010,53.03,3.03,10.83,18.63,4.94,3.5,2.23,0.01,2.23,0.0,1.36,0.38,Right
2011,18.25,5.45,25.12,35.07,12.09,2.37,0.7,0.05,0.01,0.0,0.62,0.12,Right
2012,8.93,2.62,30.0,38.81,10.83,2.26,2.98,0.0,2.74,0.0,0.67,0.06,Left
2013,5.48,1.96,25.95,39.37,16.04,3.52,2.48,0.0,4.3,0.0,0.67,0.08,Left
2014,5.75,0.51,49.52,39.94,1.81,1.12,0.07,0.0,1.02,0.0,0.3,0.0,Left
2005,26.47,17.65,2.93,10.0,11.76,25.88,1.08,0.32,0.0,0.23,1.27,2.66,Left
2006,11.97,11.97,4.51,23.93,6.66,14.53,0.52,0.0,0.11,7.17,1.07,17.95,Left
2007,15.93,6.48,5.77,34.51,9.73,6.56,1.63,0.0,0.28,0.1,3.68,15.04,Left
2008,23.62,9.45,6.41,24.41,5.27,8.66,4.93,0.0,0.0,0.0,1.36,16.54,Left
2010,33.33,6.09,4.81,17.71,3.95,7.56,1.28,0.03,8.36,0.0,2.01,15.62,Right
2011,30.36,3.1,9.76,8.34,10.53,7.65,5.31,0.0,5.01,2.68,6.96,10.31,Right
2012,53.16,3.0,6.55,12.66,3.27,12.44,0.49,0.01,0.45,0.0,0.17,6.98,Right
2013,10.06,0.98,10.0,37.88,2.14,25.76,1.52,0.0,0.03,0.55,3.13,7.95,Right
2005,48.93,3.43,23.18,6.87,6.65,3.65,3.65,0.48,0.07,0.0,0.52,2.36,Left
2006,45.43,2.45,16.26,9.35,8.46,2.18,8.46,0.52,0.38,0.0,0.38,6.01,Left
2007,49.92,0.69,18.41,12.01,6.08,3.12,3.74,0.37,0.15,0.0,0.34,5.15,Left
2008,45.65,1.88,20.24,16.0,5.88,4.47,2.03,0.26,0.38,0.0,0.09,3.06,Left
2010,23.85,3.73,35.78,15.14,9.17,7.8,2.58,0.02,0.89,0.0,0.32,1.17,Left
2011,12.38,2.36,36.19,18.1,12.86,8.57,7.14,0.02,0.55,0.0,0.94,0.23,Left
2012,21.3,1.28,33.14,23.08,5.39,4.22,5.69,0.0,1.54,0.0,4.45,0.2,Left
2013,20.25,2.34,38.43,16.53,7.44,4.55,7.02,0.09,1.77,0.0,1.49,0.45,Left
2005,33.33,9.52,14.29,35.5,3.41,0.61,3.27,0.01,0.09,0.0,0.1,0.08,Left
2006,41.45,8.55,5.13,31.62,7.26,2.71,1.84,0.16,0.11,0.0,0.11,1.26,Left
2007,9.6,12.8,8.0,53.6,5.6,2.96,6.0,0.05,0.75,0.0,0.15,0.28,Left
2008,15.62,19.53,9.38,39.06,9.38,2.68,3.84,0.19,0.0,0.0,0.72,0.1,Left
2010,20.87,9.57,26.96,25.22,6.97,2.26,7.11,0.07,0.02,0.0,0.22,0.0,Left
2011,16.47,8.95,16.47,31.76,8.48,2.03,15.29,0.04,0.0,0.0,0.66,0.25,Left
2012,17.48,4.06,7.65,33.98,22.33,5.59,6.32,0.12,0.7,0.0,0.7,1.12,Left
2013,13.33,4.06,21.33,16.0,16.0,17.33,10.77,0.0,0.0,0.0,0.01,0.93,Left
2005,76.56,1.12,7.51,10.6,2.32,0.2,0.7,0.0,0.5,0.08,0.01,0.37,Left
2006,10.53,2.62,25.26,38.95,6.05,7.11,3.95,0.25,2.36,0.0,1.39,1.53,Left
2007,43.72,1.95,9.31,16.67,3.03,0.99,1.3,0.0,0.61,21.43,0.47,0.59,Left
2010,8.84,4.27,26.51,31.63,6.05,2.38,20.0,0.01,0.09,0.0,0.14,0.04,Right
2011,8.94,5.13,18.7,43.9,16.26,0.37,6.27,0.0,0.0,0.0,0.31,0.23,Right
2012,12.69,0.16,13.43,50.75,11.94,0.0,7.43,0.0,0.06,0.0,0.7,2.52,Right
2013,8.63,0.4,12.23,60.43,7.19,0.21,9.35,0.0,0.04,0.0,0.4,0.83,Right
2005,10.24,1.56,11.45,34.94,12.65,6.02,17.47,0.0,0.24,6.02,0.14,0.13,Left
2006,11.34,3.23,9.24,40.76,6.3,7.56,17.23,0.0,0.0,0.28,0.32,3.6,Left
2008,13.41,2.26,14.02,38.41,9.15,12.2,6.1,0.0,0.0,1.07,1.88,1.45,Left
2009,10.23,2.94,13.64,38.07,7.95,18.18,7.39,0.0,0.0,0.01,1.55,0.0,Left
2010,9.35,3.8,12.15,52.34,8.63,4.25,7.41,0.0,0.0,0.0,1.91,0.37,Left
2011,10.79,3.15,14.39,56.83,5.17,3.99,4.22,0.0,0.0,0.44,1.18,0.2,Left
2013,6.25,1.84,9.87,61.18,7.89,3.4,1.66,0.0,0.04,7.24,0.29,0.0,Left
2014,13.4,2.44,12.37,22.68,9.41,3.37,3.83,0.0,0.07,32.99,0.0,0.03,Left
2005,46.46,7.3,19.47,13.72,5.31,3.98,1.88,0.0,0.08,0.0,0.39,1.09,Left
2006,64.08,2.42,18.48,9.15,2.94,1.01,1.35,0.11,0.0,0.0,0.13,0.43,Left
2007,56.57,4.95,15.92,15.92,2.32,1.4,2.47,0.0,0.0,0.0,0.22,0.21,Left
2005,45.94,3.75,9.69,22.81,7.19,9.06,1.29,0.0,0.0,0.0,0.02,0.43,Left
2006,17.07,3.5,23.41,20.98,14.63,15.61,2.98,0.1,0.0,0.0,1.4,0.34,Left
2008,55.56,1.42,10.0,26.67,2.81,1.74,2.03,0.0,0.0,0.0,0.27,0.23,Left
2009,25.17,3.36,16.11,38.26,7.38,3.18,3.18,0.26,0.0,0.0,2.91,0.33,Left
2010,7.05,3.88,48.55,28.22,8.71,1.48,1.11,0.0,0.0,0.0,1.33,0.24,Left
2011,11.11,7.67,48.15,25.93,2.88,1.12,0.79,0.0,1.85,0.0,1.07,0.11,Left
2013,9.59,6.85,34.25,42.47,2.52,0.93,0.79,0.0,0.01,0.0,1.44,1.19,Left
2014,9.16,3.7,39.24,40.51,1.67,0.31,4.49,0.17,0.0,0.0,0.98,0.22,Left
2005,73.32,1.09,2.19,8.83,0.61,12.11,1.09,0.0,0.56,0.02,0.12,0.05,Left
2007,17.07,7.8,7.32,38.54,6.34,13.17,8.78,0.0,0.68,0.0,0.64,0.0,Left
2008,35.17,6.78,16.95,12.71,8.05,9.32,10.17,0.0,0.0,0.08,0.72,0.26,Left
2009,16.81,6.72,18.07,21.43,10.5,14.71,10.08,0.0,0.04,0.04,0.35,0.92,Left
2010,24.93,4.58,9.74,25.21,8.31,16.33,9.46,0.0,0.01,0.08,0.31,0.97,Left
2012,28.93,2.34,17.61,28.3,7.55,2.18,10.69,0.0,0.74,0.01,0.16,0.44,Left
2013,21.21,8.65,6.85,31.31,27.27,2.11,2.01,0.0,0.09,0.0,0.78,0.21,Left
2014,61.76,3.53,10.78,13.73,2.2,3.17,6.22,0.0,0.0,0.0,0.01,0.0,Left
2005,29.07,2.7,19.72,38.75,4.84,0.79,2.2,0.0,0.0,0.0,0.55,1.18,Left
2006,25.48,1.96,29.73,26.64,9.65,2.95,2.44,0.0,0.29,0.0,0.31,0.51,Left
2007,31.14,2.74,27.84,27.25,6.89,1.64,1.47,0.0,0.0,0.0,0.27,0.53,Left
2008,18.35,1.86,28.09,37.08,9.74,2.12,1.96,0.0,0.44,0.0,0.3,0.33,Left
2010,13.23,5.82,23.81,50.26,3.75,0.0,1.04,0.0,0.0,0.0,0.9,0.69,Left
2011,15.34,1.62,18.75,55.11,7.39,0.0,1.4,0.0,0.0,0.0,0.28,0.0,Left
2012,14.66,6.81,32.46,32.46,11.52,0.05,2.01,0.0,0.0,0.0,0.56,0.13,Left
2013,13.42,8.72,24.16,24.16,24.83,0.0,3.99,0.0,0.0,0.0,1.07,0.0,Left
2014,13.42,8.72,24.16,24.16,24.83,0.0,3.99,0.0,0.0,0.0,1.07,0.0,Left
2005,36.78,2.27,20.87,18.39,10.95,7.64,2.27,0.0,0.0,0.0,0.52,0.15,Left
2006,30.6,2.01,15.66,30.36,8.92,5.06,6.75,0.0,0.05,0.0,0.52,0.09,Left
2007,31.46,0.97,22.93,20.49,9.02,9.27,4.15,0.0,0.98,0.0,0.25,0.15,Left
2008,39.15,4.06,7.94,22.93,18.17,6.0,1.44,0.0,0.04,0.0,0.18,0.16,Left
2010,18.31,8.45,19.25,20.19,12.91,17.14,3.29,0.0,0.0,0.0,0.23,0.23,Right
2011,9.05,8.54,12.56,42.71,13.07,8.04,3.34,0.0,1.06,0.0,1.16,0.4,Right
2012,20.28,5.66,12.74,41.51,4.72,10.85,2.74,0.0,0.0,0.0,1.32,0.04,Right
2013,23.32,3.46,17.94,32.29,3.47,14.8,3.35,0.0,0.0,0.0,1.82,0.04,Right
2006,23.59,0.47,9.23,10.26,7.18,8.21,5.13,34.36,1.49,0.0,0.15,0.03,Right
2007,28.72,0.25,4.61,15.25,5.32,0.51,4.61,37.59,2.92,0.0,0.0,0.14,Right
2008,13.6,0.32,7.08,18.41,6.8,1.46,3.68,46.46,1.94,0.0,0.19,0.09,Right
2009,28.19,2.32,14.1,12.78,10.57,1.2,7.49,19.38,3.78,0.0,0.13,0.3,Right
2010,35.33,7.78,10.18,25.75,9.58,0.61,1.88,0.0,7.78,0.0,0.83,0.57,Right
2012,57.97,4.15,10.2,12.74,6.06,6.0,0.62,0.0,1.14,0.0,0.28,0.0,Right
2013,45.24,9.41,11.57,11.68,10.77,0.62,1.33,0.0,9.2,0.0,0.81,0.0,Left
2014,53.03,3.13,11.92,9.23,14.25,0.0,6.7,0.95,0.04,0.0,1.23,0.0,Left
2005,18.41,0.04,26.0,49.53,0.49,2.28,2.66,0.08,0.3,0.0,0.36,0.0,Left
2007,23.84,0.05,29.86,37.96,0.16,2.78,5.09,0.08,0.08,0.0,0.22,0.0,Left
2008,23.29,0.05,26.03,37.33,1.22,4.11,7.19,0.08,0.08,0.0,0.5,0.0,Left
2009,23.2,0.08,33.54,29.47,0.3,3.76,6.58,0.2,1.51,0.0,0.92,0.0,Left
2010,28.89,0.07,32.89,24.89,0.42,4.89,6.67,0.5,0.57,0.0,0.24,0.0,Left
2012,48.04,0.03,17.52,12.99,1.04,11.48,2.45,0.21,6.04,0.0,0.3,0.0,Left
2013,37.43,0.37,28.07,23.39,0.33,2.61,3.26,0.06,3.84,0.0,0.47,0.0,Left
2014,33.33,0.07,32.84,14.43,1.34,3.33,3.05,0.0,11.94,0.0,0.3,0.0,Left
2005,22.87,4.91,16.64,30.81,6.62,0.17,7.37,0.29,0.32,0.0,0.3,9.45,Right
2006,6.4,6.06,28.89,33.74,4.15,0.48,5.54,0.0,0.19,0.0,0.68,13.84,Right
2008,5.16,7.37,30.57,42.73,5.16,1.05,4.24,0.0,0.37,0.0,0.13,3.31,Right
2009,3.61,5.0,38.33,41.67,3.89,1.22,2.65,0.02,0.24,0.0,0.07,3.33,Right
2005,18.69,3.58,16.82,33.49,9.03,14.33,3.27,0.0,0.03,0.51,0.11,0.04,Left
2006,50.64,5.21,14.02,15.99,5.56,5.79,2.67,0.01,0.0,0.0,0.08,0.13,Left
2007,66.45,10.36,5.46,9.66,2.41,3.43,1.59,0.0,0.12,0.42,0.06,0.0,Left
2008,40.07,2.61,12.89,21.95,6.27,9.76,6.1,0.0,0.0,0.0,0.59,0.04,Left
2014,15.79,6.91,31.58,24.34,14.14,6.25,0.36,0.0,0.0,0.0,0.39,0.0,Left
2005,32.47,3.98,19.48,24.68,3.67,6.31,6.41,0.0,2.21,0.0,1.02,0.0,Right
2006,28.57,2.44,17.35,26.53,5.59,3.62,14.29,0.19,0.75,0.0,0.65,0.0,Right
2008,24.17,6.02,11.67,24.17,8.14,16.67,8.02,0.02,0.06,0.0,0.84,0.0,Right
2009,17.69,2.8,37.69,20.0,5.26,11.54,4.01,0.0,0.14,0.0,0.58,0.0,Right
2010,22.0,3.15,38.0,21.0,5.87,4.79,2.88,0.12,0.0,0.0,1.54,0.0,Right
2011,22.73,6.81,21.97,27.27,6.66,4.31,6.46,1.34,0.35,0.0,1.95,0.0,Right
2013,16.33,7.56,27.55,20.41,3.59,6.56,13.27,0.85,0.13,2.31,1.75,0.0,Left
2014,14.47,11.07,18.42,44.74,2.7,1.63,6.19,0.5,0.0,0.0,0.72,0.0,Left
2005,63.32,2.67,8.57,13.73,5.16,2.86,2.21,0.01,0.58,0.08,0.15,0.77,Left
2007,43.71,3.11,13.53,27.33,2.17,6.5,2.71,0.0,0.0,0.0,0.32,0.71,Left
2008,26.37,2.82,17.08,36.98,4.64,1.14,2.16,0.0,1.25,2.49,0.55,4.48,Left
2009,25.96,6.17,23.4,31.91,3.19,5.32,1.28,0.0,0.56,0.0,0.02,2.13,Left
2010,26.31,4.82,23.49,18.67,3.21,3.82,18.27,0.0,0.07,0.0,0.34,0.69,Left
2012,11.72,1.76,45.78,20.16,15.26,3.81,0.04,0.0,0.64,0.0,0.41,0.46,Left
2013,55.36,0.37,16.96,14.21,3.99,7.48,1.22,0.0,0.0,0.0,0.66,0.0,Left
2014,14.8,0.41,17.49,33.18,22.87,4.46,0.79,0.0,0.0,4.93,1.27,0.05,Left
2005,8.8,3.78,23.55,56.96,5.32,3.18,0.25,0.0,0.33,0.08,0.52,0.03,Left
2007,18.62,2.22,17.22,54.55,2.52,1.12,0.29,0.01,0.21,0.1,0.16,0.0,Left
2009,3.03,2.14,17.58,71.46,3.71,1.81,0.24,0.0,0.22,0.15,0.08,0.0,Right
2010,10.17,2.78,23.93,58.08,4.87,2.34,0.23,0.0,0.48,0.18,0.15,0.0,Right
2011,11.4,2.5,21.85,57.45,4.04,1.91,0.11,0.0,0.25,0.11,0.35,0.0,Right
2012,65.28,0.62,3.87,24.36,1.47,1.27,0.17,0.0,0.13,0.07,0.2,0.0,Right
2014,4.6,0.97,22.68,62.53,4.48,2.27,0.57,0.0,1.78,0.04,0.09,0.0,Left
2005,37.96,3.12,10.22,24.82,5.22,13.14,3.37,0.0,0.01,0.0,1.1,1.13,Right
2007,30.1,2.19,10.68,42.72,5.52,0.52,2.67,0.0,2.29,0.0,2.25,0.03,Left
2008,15.83,0.12,10.83,53.33,3.59,0.78,2.4,0.0,11.67,0.0,0.06,1.52,Left
2009,22.95,1.39,4.47,59.84,1.82,0.06,7.39,0.0,0.3,0.0,0.8,0.76,Left
2010,27.96,3.05,5.35,39.78,6.51,0.03,10.75,0.0,0.0,0.0,4.42,1.12,Left
2012,11.29,6.69,9.19,45.0,2.01,0.52,20.57,0.0,0.0,0.0,3.53,0.37,Right
2013,12.33,10.3,23.08,35.38,1.35,4.47,9.21,0.0,0.0,0.0,2.7,0.0,Right
2014,34.69,3.84,30.61,19.19,6.5,1.36,2.16,0.0,0.0,0.0,1.16,0.04,Right
2005,18.91,3.04,21.96,29.57,4.35,0.04,8.91,0.0,0.62,0.0,0.15,12.39,Left
2007,9.79,1.01,33.1,35.66,4.66,0.18,9.32,0.0,0.84,0.41,0.12,4.9,Left
2008,15.43,1.02,21.9,33.75,2.75,0.0,9.09,0.0,1.15,0.0,0.0,15.01,Left
2009,7.13,1.78,37.25,44.03,4.28,0.0,4.63,0.0,0.63,0.0,0.0,0.28,Left
2010,4.65,1.83,40.37,41.36,2.99,0.0,1.15,0.0,0.06,0.0,0.09,7.48,Left
2012,23.68,2.71,26.24,38.16,0.46,0.1,1.66,0.0,0.04,0.02,0.12,6.79,Left
2013,25.52,2.07,30.21,27.31,0.5,0.0,2.07,0.0,0.1,0.08,0.32,12.0,Left
2014,32.67,0.73,29.1,26.53,0.59,0.0,0.6,0.0,0.04,0.17,0.06,9.56,Left
2005,26.15,1.96,37.18,10.77,3.33,6.41,3.85,0.01,1.14,8.21,0.05,0.6,Left
2006,24.41,2.73,34.61,12.93,4.92,8.56,2.0,0.0,3.64,3.83,0.0,2.37,Left
2007,24.9,3.27,44.08,11.43,2.65,3.47,5.71,0.0,2.86,1.29,0.0,0.64,Left
2008,20.67,8.01,46.0,11.17,2.05,3.54,4.47,0.0,1.71,0.0,0.49,2.05,Left
2009,14.83,9.09,43.3,4.07,3.83,11.96,5.74,0.19,6.94,0.0,0.0,0.3,Left
2011,19.47,7.2,23.47,18.93,4.8,18.13,1.41,0.01,5.87,0.0,0.43,0.1,Left
2012,21.4,6.61,29.18,16.73,4.67,7.78,2.96,0.16,8.95,0.0,1.12,0.01,Left
2013,15.29,12.1,22.93,26.75,6.37,13.38,2.93,0.03,0.61,0.0,0.13,0.0,Left
2007,15.28,4.67,27.78,43.75,1.44,3.66,2.09,0.0,0.04,0.0,0.65,0.28,Left
2008,18.71,10.97,31.61,27.1,3.03,1.02,6.35,0.06,0.0,0.0,0.85,0.63,Left
2009,12.21,9.16,20.61,27.48,6.38,0.05,20.61,0.14,0.0,0.0,0.42,3.09,Left
2010,9.32,12.42,16.15,39.75,2.72,1.96,14.91,0.0,0.0,0.0,1.13,1.26,Left
2012,12.66,8.23,31.01,29.11,3.14,0.91,13.92,0.21,0.0,0.0,0.31,0.68,Left
2013,20.3,6.49,16.54,27.82,9.77,1.3,9.77,1.02,0.0,0.0,1.37,5.21,Left
2014,9.89,1.86,30.51,45.76,3.14,0.96,5.79,0.13,0.0,0.0,0.99,0.75,Left
2005,5.17,0.51,46.55,21.26,7.76,11.21,4.31,0.0,1.96,0.0,1.36,0.0,Left
2007,9.88,1.11,44.2,21.23,7.65,11.11,3.46,0.0,1.23,0.0,0.12,0.0,Left
2008,42.16,0.66,31.0,11.91,3.4,5.1,2.08,0.0,3.4,0.0,0.1,0.0,Left
2009,20.43,0.76,25.42,20.19,6.41,18.76,1.9,0.0,3.56,0.0,0.66,2.1,Left
2010,25.91,1.6,21.34,25.61,5.79,10.37,7.93,0.0,0.0,0.0,0.83,0.37,Left
2012,30.41,1.15,38.6,16.37,4.87,3.66,3.9,0.0,0.0,0.0,0.61,0.0,Left
2013,9.65,1.55,46.49,25.44,8.49,2.02,5.87,0.0,0.0,0.0,0.0,0.0,Left
2014,8.96,0.4,79.17,6.35,0.0,4.92,0.43,0.0,0.0,0.0,0.0,0.0,Left
2005,11.68,4.99,36.5,24.09,15.33,0.26,0.25,1.17,0.88,3.6,0.61,0.67,Right
2006,11.11,6.6,52.59,17.04,7.41,0.31,0.83,0.02,1.9,1.59,0.59,0.03,Right
2007,6.42,5.14,50.77,20.0,12.31,0.38,3.6,0.0,0.77,0.0,0.5,0.0,Right
2009,9.27,9.27,39.74,21.19,9.93,0.58,6.44,0.06,0.12,2.0,1.36,0.15,Right
2010,7.15,0.91,49.15,27.12,2.18,0.57,11.02,0.0,0.47,0.0,0.92,0.7,Right
2011,8.11,2.0,36.36,40.91,3.29,6.59,2.72,0.0,0.08,0.0,0.5,0.32,Right
2012,5.77,0.62,42.35,12.94,5.22,27.06,3.85,0.0,0.04,0.0,1.76,0.0,Right
2005,41.67,1.23,11.9,28.57,4.43,4.8,5.22,0.24,0.1,0.0,2.11,0.0,Right
2006,45.78,1.88,16.87,21.69,7.63,0.7,2.74,0.35,2.56,0.0,0.0,0.0,Right
2007,47.22,0.9,7.09,16.67,14.81,9.26,0.87,0.0,1.02,0.0,1.4,0.0,Right
2009,19.35,1.68,25.81,37.1,10.4,1.37,2.67,0.47,0.0,0.0,0.35,0.0,Left
2010,7.56,4.96,14.66,40.0,27.5,2.03,3.17,0.83,0.0,0.0,0.64,0.0,Left
2011,17.41,4.26,16.42,44.44,19.24,0.8,0.18,0.0,0.0,0.0,0.15,0.0,Left
2012,10.88,3.4,25.74,46.67,6.21,0.01,2.68,0.0,0.0,0.0,5.25,0.0,Left
2014,6.25,3.03,8.89,16.1,3.85,55.81,6.43,0.0,0.0,0.0,0.0,0.0,Left
2006,82.8,5.38,11.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Right
2008,72.13,1.79,22.13,0.0,0.0,0.06,2.74,0.0,0.0,0.0,0.56,0.76,Left
2009,56.76,2.69,23.42,6.62,0.07,0.0,6.19,0.24,0.06,1.11,1.93,0.67,Left
2010,25.77,1.93,53.61,5.4,4.92,0.14,2.16,0.0,1.11,0.74,3.64,0.04,Left
2011,19.86,0.69,63.01,5.29,3.89,0.0,2.54,0.0,1.38,0.65,2.95,0.16,Left
2013,37.1,15.32,11.29,20.97,0.11,1.52,3.29,0.0,0.0,0.55,8.87,0.49,Left
2014,34.48,7.98,22.99,13.79,5.48,0.12,0.31,0.0,3.69,3.24,6.98,0.54,Left
2005,32.1,1.41,20.99,29.63,8.35,0.0,4.42,0.0,0.98,0.0,0.12,1.1,Right
2006,16.54,2.22,25.98,14.96,9.45,0.35,29.13,0.0,1.35,0.0,0.04,0.2,Right
2007,24.11,1.84,21.43,27.68,10.71,1.44,7.04,0.0,1.21,0.0,0.67,4.35,Right
2008,38.81,0.66,14.18,23.13,11.19,0.9,8.21,0.0,0.68,0.0,0.58,1.79,Right
2009,24.8,1.23,13.6,23.2,11.2,5.82,18.4,0.0,0.16,0.0,0.42,1.91,Right
2010,17.07,0.42,19.51,25.61,20.73,9.87,6.19,0.0,0.05,0.0,0.12,0.87,Right
2011,18.13,1.17,14.02,24.0,26.0,11.53,2.42,0.0,0.83,0.0,0.12,0.75,Right
2012,10.67,7.58,22.58,29.03,15.17,12.54,1.29,0.0,0.0,0.0,0.32,0.56,Right
2013,11.9,0.9,26.56,34.38,11.29,9.61,3.84,0.0,0.0,0.0,0.04,0.76,Right
2005,83.32,0.77,7.43,7.0,0.08,0.77,0.16,0.27,0.04,0.0,0.06,0.04,Left
2006,72.8,4.02,8.66,11.59,0.16,1.04,0.32,0.33,1.06,0.0,0.1,0.03,Left
2007,46.54,4.23,26.15,14.23,1.06,1.28,1.72,0.69,4.23,0.0,0.05,0.0,Left
2008,35.6,5.83,31.39,12.3,2.03,1.53,2.35,1.23,3.56,0.0,0.1,4.21,Left
2010,35.76,9.38,18.75,19.79,1.36,1.98,1.94,0.91,0.43,0.0,0.3,9.72,Left
2011,34.12,12.55,26.67,14.9,2.19,1.21,0.8,0.73,0.73,0.0,0.01,6.27,Left
2012,43.91,4.43,27.68,15.5,2.21,0.74,1.87,1.06,0.0,0.0,0.11,2.51,Left
2013,31.47,11.55,24.7,21.51,3.22,2.16,2.16,0.91,1.46,0.0,0.31,0.39,Left
2005,44.41,2.56,6.95,19.94,2.22,10.88,5.72,4.37,2.16,0.0,0.27,0.52,Left
2007,42.84,3.77,8.43,18.85,4.28,9.32,4.87,5.69,1.63,0.0,0.24,0.08,Left
2008,43.65,3.83,16.94,14.92,3.31,7.5,3.62,1.31,3.9,0.0,0.67,0.35,Left
2009,39.42,3.47,8.3,33.82,2.72,6.05,2.97,0.56,1.9,0.0,0.28,0.51,Left
2010,24.67,4.35,10.35,30.59,5.67,17.88,3.31,0.62,1.41,0.0,0.75,0.38,Left
2012,34.49,3.68,19.96,21.7,4.76,5.76,2.01,0.58,2.14,0.0,0.57,4.29,Left
2013,14.45,2.01,21.01,35.87,3.4,15.95,0.5,0.86,1.32,0.0,0.48,4.09,Left
2014,24.7,1.87,19.61,30.16,7.11,11.38,2.32,0.15,1.12,0.0,0.24,1.42,Left
2005,2.86,0.64,49.17,11.98,6.2,1.56,2.36,0.3,0.01,0.0,0.22,24.38,Right
2006,11.28,4.87,30.26,13.85,12.82,3.7,3.83,0.1,0.82,0.0,0.07,18.46,Right
2008,4.29,3.35,46.79,23.08,1.0,2.63,7.69,0.0,0.39,0.0,0.32,10.9,Right
2009,13.33,14.29,48.57,10.48,5.06,1.08,6.63,0.0,0.24,0.0,0.93,0.0,Right
2010,4.23,5.02,44.95,14.68,9.17,6.02,11.01,0.0,0.03,0.0,3.74,0.37,Right
2011,1.44,2.83,42.0,11.0,2.16,2.01,37.0,0.0,0.0,0.0,1.34,0.0,Right
2013,7.34,9.34,39.29,35.31,3.94,0.0,4.95,0.0,0.0,0.0,0.44,0.0,Right
2014,19.04,3.39,38.01,33.34,5.81,0.0,0.2,0.0,0.0,0.0,0.25,0.0,Right
2005,28.3,12.47,19.08,20.95,12.47,2.12,4.36,0.0,0.0,0.0,0.09,0.27,Left
2006,13.42,6.81,26.65,25.68,16.15,2.53,7.0,0.17,0.0,0.0,1.1,0.69,Left
2007,31.25,4.84,27.5,17.66,10.47,1.56,5.62,0.03,0.01,0.0,0.58,0.6,Left
2008,20.55,7.36,25.86,20.72,13.36,1.28,8.39,0.0,1.71,0.0,0.28,0.58,Left
2009,17.4,11.6,25.71,19.28,16.77,1.27,7.05,0.14,0.0,0.0,0.27,0.58,Left
2010,14.06,4.02,34.31,21.95,18.7,0.93,5.1,0.02,0.0,0.0,0.4,0.39,Left
2011,13.95,5.81,34.88,22.09,15.45,1.43,5.81,0.0,0.0,0.0,0.04,0.63,Left
2012,12.61,6.47,28.28,27.94,14.31,2.73,6.64,0.0,0.37,0.0,0.11,0.59,Left
2013,7.69,5.06,29.76,17.81,26.32,2.63,9.11,0.0,0.51,0.0,0.48,0.52,Left
2014,8.57,5.05,40.44,18.24,10.99,5.71,9.67,0.03,0.05,0.0,0.11,1.0,Left
2005,33.2,4.92,17.62,18.03,8.61,3.23,11.48,0.0,0.0,1.01,0.23,1.25,Right
2006,30.77,3.7,17.09,32.05,8.12,2.88,3.37,0.0,0.61,0.28,0.0,0.85,Right
2007,25.32,5.13,19.87,29.17,4.49,2.89,8.65,0.0,0.37,3.21,0.0,0.45,Right
2009,10.48,2.86,39.05,25.24,13.33,5.24,1.86,0.0,0.0,1.54,0.09,0.41,Right
2010,18.64,1.46,16.1,33.9,20.34,1.56,1.36,0.0,1.12,2.6,2.56,0.21,Right
2011,20.16,3.36,17.74,23.39,13.71,12.1,7.96,0.0,0.13,0.26,0.09,0.07,Right
2012,30.29,2.3,24.57,17.71,1.74,3.06,16.0,0.0,0.0,2.2,1.34,0.55,Right
2014,19.51,1.14,11.38,34.96,3.35,20.33,3.94,0.0,0.0,4.52,0.0,0.35,Left
2005,22.09,5.29,6.36,51.61,4.62,6.36,3.35,0.0,0.29,0.01,0.02,0.0,Right
2007,9.67,6.25,10.86,44.49,9.52,10.42,6.85,0.0,1.64,0.0,0.31,0.0,Right
2008,11.65,3.57,7.73,58.98,7.25,6.42,4.04,0.0,0.23,0.02,0.09,0.0,Right
2009,16.52,3.79,9.55,44.24,12.88,5.15,5.91,0.0,1.82,0.0,0.05,0.0,Right
2010,12.89,7.99,12.11,42.01,15.21,3.61,5.15,0.0,0.3,0.0,0.62,0.0,Right
2012,20.28,8.76,6.68,32.49,13.13,5.07,13.36,0.0,0.44,0.01,0.0,0.0,Left
2013,34.02,13.04,5.63,27.62,8.95,6.39,3.58,0.0,0.19,0.01,0.71,0.0,Left
2014,15.84,19.46,8.14,40.27,9.95,3.21,1.58,0.0,0.42,0.04,0.86,0.0,Left
2005,53.11,3.19,13.78,10.25,5.04,4.87,8.57,0.0,0.84,0.16,0.29,0.07,Left
2006,75.56,2.1,2.89,6.57,5.26,2.5,3.81,0.0,0.63,0.19,0.03,0.32,Left
2007,41.65,3.2,5.95,16.93,6.86,8.24,16.25,0.0,0.08,0.24,0.17,0.31,Left
2009,74.09,1.06,2.07,7.15,6.68,4.93,2.54,0.0,1.17,0.11,0.08,0.17,Left
2010,11.67,1.52,4.92,20.56,28.89,22.22,7.22,0.0,1.06,0.3,0.26,1.73,Left
2011,10.31,4.22,3.5,26.46,19.28,8.07,22.87,0.0,3.39,0.25,1.3,0.23,Left
2012,8.03,2.75,5.62,17.67,34.54,6.43,9.24,0.0,14.06,0.21,1.78,0.09,Left
