year,amministration_invest,social_invest,environment_invest,transport_invest,education_invest,culture_invest,sport_invest,tourism_invest,economic_invest,sevice_invest,police_invest,justice_invest,orientation
2011,62.62,4.18,10.0,9.75,5.57,2.05,3.11,0.0,0.9,0.0,1.48,0.38,Right
2012,64.17,8.31,9.42,7.85,4.06,1.66,1.48,0.0,1.48,0.0,1.39,0.19,Right
2014,63.74,2.72,8.24,20.33,1.49,0.7,2.47,0.0,0.0,0.0,0.2,0.08,Left
2005,14.07,1.05,55.28,11.06,9.55,0.74,4.78,0.0,0.4,0.0,1.25,1.45,Right
2006,13.54,1.57,38.02,12.5,7.29,8.85,7.81,0.0,0.0,3.9,5.73,0.45,Right
2007,25.39,4.3,23.83,9.38,12.11,12.11,2.8,0.66,6.25,2.25,0.64,0.0,Right
2008,14.13,6.36,27.92,25.8,8.83,5.3,1.75,3.53,3.89,0.95,1.12,0.0,Right
2010,13.25,7.83,24.7,27.11,13.86,4.33,6.63,0.0,0.0,0.0,0.6,1.93,Right
2011,35.08,6.81,10.99,24.61,12.57,4.86,5.03,0.0,0.2,0.02,0.0,0.03,Right
2012,42.6,4.48,21.52,23.32,2.27,3.75,1.53,0.0,0.06,0.0,0.0,0.24,Left
2013,32.31,3.93,14.87,36.92,5.64,1.51,2.15,0.0,2.63,0.0,0.0,0.03,Left
2014,5.26,4.39,25.81,47.31,4.52,4.42,1.73,0.0,4.88,0.0,0.0,0.86,Left
2005,29.42,6.7,28.49,18.62,1.86,8.94,4.1,0.22,1.27,0.0,0.54,0.0,Right
2007,29.65,2.62,33.58,13.52,5.81,8.28,4.22,0.03,1.45,0.0,0.47,0.03,Right
2008,29.27,2.44,23.24,20.52,3.16,16.64,2.44,0.2,1.08,0.0,1.04,0.0,Right
2009,43.11,5.31,13.39,21.46,5.12,6.5,3.74,0.01,0.49,0.0,0.63,0.05,Right
2010,43.96,5.49,14.51,21.76,4.62,5.71,2.86,0.16,0.32,0.0,0.49,0.0,Right
2005,14.26,13.87,53.33,4.79,11.95,0.44,1.63,0.0,0.03,0.0,0.92,0.0,Left
2006,23.64,5.19,23.64,13.49,12.74,0.04,0.66,0.0,3.39,0.0,1.09,16.76,Left
2007,22.73,3.69,27.27,9.07,4.85,0.2,2.25,0.43,2.54,0.0,1.84,25.76,Left
2008,21.74,0.68,26.09,18.26,9.58,1.87,4.45,0.55,3.9,0.0,2.1,10.84,Left
2010,7.97,3.89,34.09,38.64,3.4,1.1,10.33,0.0,0.0,0.0,0.84,0.0,Right
2011,11.16,16.07,31.58,28.95,7.34,0.18,0.99,0.0,1.54,0.0,0.92,0.0,Right
2012,16.97,1.14,30.77,28.21,7.3,0.03,1.79,0.0,0.71,0.0,1.0,11.4,Right
2013,6.62,0.19,32.69,26.92,0.33,0.01,2.94,0.0,12.86,0.0,1.52,16.04,Right
2005,20.47,4.75,28.35,30.71,5.76,0.03,4.85,0.0,2.08,0.0,0.01,3.02,Left
2006,8.14,5.5,36.63,36.63,1.34,0.94,4.29,0.0,4.18,0.03,0.62,2.03,Left
2007,6.98,41.86,19.19,12.79,7.56,0.34,4.89,0.0,3.28,0.01,1.42,1.42,Left
2008,3.76,50.0,17.82,8.05,8.05,0.1,6.9,0.0,5.06,0.03,0.62,0.0,Left
2010,1.24,7.55,23.08,58.24,2.97,0.22,4.71,0.0,2.69,0.05,0.0,0.0,Right
2011,1.34,18.2,27.91,37.21,9.18,0.0,3.54,0.0,2.55,0.0,2.01,0.0,Right
2012,1.27,13.44,14.74,30.3,30.3,6.25,3.36,0.0,1.17,0.0,0.04,0.0,Right
2013,1.71,12.91,34.62,21.15,25.0,0.0,1.34,0.0,1.78,0.0,0.0,0.0,Right
2005,29.24,2.19,35.67,5.26,11.7,11.7,1.45,0.0,2.3,0.0,0.27,0.0,Left
2005,27.13,5.68,13.56,27.76,8.83,1.8,6.94,0.0,6.62,0.0,0.12,1.79,Right
2007,23.6,1.34,24.57,30.41,3.16,5.84,2.92,0.0,5.84,0.04,0.07,2.43,Left
2008,21.07,2.29,13.96,42.64,6.35,9.14,0.85,0.0,3.3,0.0,0.0,0.26,Left
2009,8.01,0.67,17.72,58.98,1.3,7.52,0.06,0.0,5.83,0.0,0.0,0.08,Left
2010,11.57,1.99,39.67,32.23,11.57,3.05,0.11,0.0,0.06,0.0,0.0,0.0,Left
2012,9.55,4.58,19.03,53.85,4.27,3.44,5.73,0.0,0.0,0.0,0.0,0.0,Right
2013,16.39,2.45,32.79,31.15,9.17,0.12,0.46,0.0,0.0,0.0,6.99,0.0,Right
2014,16.87,1.05,45.78,27.71,3.03,3.0,0.0,0.0,0.0,0.0,2.71,0.0,Right
2005,46.5,0.0,8.39,22.55,12.06,1.55,2.62,0.0,1.61,4.72,0.0,0.0,Right
2006,30.62,2.63,9.99,47.83,3.02,1.84,1.45,0.0,0.6,2.1,0.0,0.0,Right
2007,31.11,2.31,19.43,30.98,9.92,2.17,2.99,0.0,0.09,1.02,0.0,0.0,Right
2009,32.21,1.96,18.24,11.49,15.09,0.73,1.61,0.0,0.96,17.79,0.0,0.0,Right
2010,28.77,1.01,24.22,10.83,18.8,1.06,0.32,0.0,0.16,14.81,0.0,0.0,Right
2011,24.78,0.23,38.26,5.22,29.57,0.43,0.95,0.0,0.28,0.29,0.0,0.0,Right
2012,18.65,8.29,15.54,11.92,15.54,0.05,0.07,0.0,4.8,24.87,0.09,0.0,Right
2014,28.81,6.78,19.21,9.6,10.73,0.09,0.68,0.0,0.0,20.34,3.07,0.0,Left
2005,15.43,5.24,36.17,11.17,8.51,11.17,11.7,0.0,0.12,0.0,0.02,0.02,Right
2007,10.92,3.73,51.15,8.05,9.2,16.09,0.17,0.0,0.04,0.0,0.4,0.16,Left
2008,5.48,3.63,56.62,11.87,9.59,5.94,5.94,0.02,0.66,0.0,0.07,0.0,Left
2009,5.12,2.55,56.74,11.16,5.58,10.7,4.65,0.16,2.8,0.0,0.04,0.19,Left
2010,2.56,5.2,57.69,6.66,4.59,18.46,1.41,0.08,0.04,0.0,0.17,2.81,Left
2011,5.3,4.67,39.66,18.44,4.42,7.82,4.99,0.21,0.0,0.0,0.2,14.53,Left
2013,10.11,0.31,41.57,16.85,4.83,0.32,5.17,3.22,0.04,0.0,0.32,17.42,Right
2014,9.34,1.13,44.94,12.36,8.43,4.87,0.99,11.03,0.0,0.0,0.28,7.1,Right
2005,17.48,9.51,18.45,31.07,14.56,0.02,9.26,0.0,0.09,0.0,0.06,0.11,Left
2006,34.69,12.24,12.24,31.63,0.99,0.04,7.48,0.0,0.56,0.0,0.18,0.0,Left
2007,28.3,16.35,13.84,23.27,6.92,0.0,10.06,0.0,0.68,0.0,0.41,0.0,Left
2008,17.68,3.86,37.2,29.27,3.02,0.12,8.54,0.0,0.06,0.0,0.17,0.0,Left
2009,36.13,3.48,22.69,31.09,2.53,0.02,3.67,0.0,0.24,0.0,0.28,0.0,Left
2011,10.04,0.93,24.73,43.01,16.13,0.16,4.23,0.0,0.03,0.0,0.03,1.13,Right
2012,11.96,2.13,40.26,33.77,9.58,0.39,0.61,0.0,0.03,0.0,1.64,0.16,Right
2013,21.6,4.78,21.6,34.4,16.0,0.0,1.59,0.0,0.04,0.0,0.19,0.11,Right
2014,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Right
2005,32.73,6.55,17.09,26.18,8.73,5.45,0.89,0.11,1.5,0.01,0.37,0.16,Right
2006,19.54,9.58,9.58,28.74,20.31,4.6,6.9,0.13,0.13,0.01,0.52,0.24,Right
2008,16.33,7.48,32.65,20.41,8.84,6.58,6.08,0.0,0.54,0.0,1.07,0.21,Right
2009,17.78,5.38,40.0,22.22,6.95,3.88,2.04,0.0,0.24,0.0,1.13,0.32,Right
2010,15.97,3.03,45.38,20.17,7.32,4.7,1.78,0.58,0.22,0.0,0.67,0.25,Right
2011,7.0,2.92,27.27,34.09,17.05,4.92,0.62,0.0,2.97,0.0,2.79,0.04,Right
2013,22.67,2.69,18.67,33.33,6.23,4.25,0.22,0.06,9.35,0.0,3.03,0.0,Left
2014,35.4,3.14,22.12,15.93,9.73,3.23,1.82,0.38,6.74,0.17,0.19,0.19,Left
2005,64.55,3.8,21.69,5.82,2.13,0.08,1.25,0.0,0.1,0.0,0.0,0.0,Left
2007,50.32,4.43,23.23,10.97,5.45,1.03,4.7,0.0,0.0,0.0,0.0,0.0,Left
2008,29.55,7.14,44.7,11.36,5.34,0.3,1.32,0.0,0.0,0.0,0.0,0.0,Left
2009,15.29,3.46,65.88,8.24,0.72,4.81,1.0,0.0,0.0,0.0,0.0,0.0,Left
2010,37.35,6.02,31.33,16.27,4.7,3.12,0.85,0.0,0.0,0.0,0.0,0.0,Left
2005,28.17,8.45,34.51,10.56,3.42,2.24,10.56,0.0,0.24,0.0,0.35,0.89,Left
2006,18.68,8.24,23.63,19.78,5.49,1.41,4.76,0.71,0.0,1.54,0.6,14.84,Left
2007,78.94,0.87,6.12,8.49,1.1,0.51,1.25,0.08,0.45,0.21,0.03,1.93,Left
2008,77.36,1.43,5.5,3.93,2.36,0.72,1.51,0.06,4.72,0.0,0.12,2.2,Left
2010,19.86,4.41,29.79,12.06,2.74,2.64,5.49,0.01,21.99,0.0,0.6,0.5,Right
2011,26.61,3.88,34.86,13.76,7.75,2.53,5.56,0.0,4.3,0.0,0.09,0.07,Right
2012,14.66,5.94,30.17,38.79,2.59,1.04,5.37,0.0,0.09,0.42,0.39,0.09,Right
2013,6.64,11.44,30.26,43.17,4.06,1.34,2.64,0.0,0.04,0.0,0.11,0.06,Right
2005,24.48,8.39,51.05,3.46,9.09,0.27,0.02,0.0,1.71,0.0,0.65,0.03,Right
2007,14.74,6.0,69.47,0.18,5.95,1.49,0.03,0.0,0.83,0.0,0.73,0.01,Left
2008,25.81,3.94,66.13,0.77,1.57,0.71,1.71,0.0,0.0,0.0,0.18,0.0,Left
2009,11.34,1.01,78.35,1.59,0.63,0.09,6.36,0.0,0.01,0.0,0.32,0.01,Left
2010,34.85,4.05,46.97,4.69,2.05,1.04,5.71,0.0,0.01,0.0,0.09,0.03,Left
2012,36.67,6.51,42.5,10.83,0.12,0.64,1.54,0.0,0.0,0.0,1.11,0.0,Left
2013,57.98,14.29,21.85,3.09,0.36,0.1,0.93,0.0,1.74,0.0,0.64,0.0,Left
2014,60.14,6.48,22.38,9.09,1.93,0.02,0.02,0.0,0.01,0.0,0.65,0.0,Left
2005,13.55,6.29,16.77,18.06,14.84,15.48,3.55,0.97,3.98,3.76,0.2,2.43,Left
2006,18.38,8.82,8.09,19.85,12.5,11.76,8.09,5.82,0.06,0.0,0.33,6.63,Left
2008,8.19,9.36,7.02,18.71,43.27,8.77,3.06,0.0,0.41,0.0,0.27,0.25,Left
2009,32.93,20.36,11.38,16.77,7.19,7.78,2.56,0.0,0.23,0.0,0.48,0.17,Left
2010,34.97,5.11,18.88,16.78,4.72,10.49,8.39,0.9,0.12,0.0,0.11,0.05,Left
2011,13.0,12.0,11.0,21.0,3.74,31.0,5.51,0.12,0.6,0.0,1.25,0.54,Left
2005,1.54,1.2,44.72,35.11,7.56,4.66,6.27,0.0,0.02,0.0,0.0,0.06,Left
2006,24.86,0.0,11.5,24.91,33.3,1.25,4.19,0.0,0.0,0.0,0.0,0.0,Left
2007,8.15,0.0,18.09,15.58,15.12,0.0,44.49,0.0,0.0,0.0,0.0,0.0,Left
2008,14.34,0.0,6.57,21.15,5.71,1.88,42.31,0.0,1.61,0.0,1.15,3.23,Left
2009,13.57,0.04,2.83,20.88,15.6,1.19,44.44,0.0,0.01,0.0,0.06,0.38,Left
2011,57.36,0.66,2.15,3.93,7.4,4.8,5.25,0.46,17.75,0.0,0.0,1.92,Left
2012,28.12,11.79,10.66,20.97,11.83,0.0,15.71,0.0,0.19,0.0,0.0,0.73,Left
2013,46.0,3.93,16.07,17.69,10.29,0.0,2.92,0.0,0.0,0.0,2.26,2.1,Left
2014,52.38,0.35,22.36,20.21,5.63,0.0,0.69,0.01,0.0,0.0,0.55,0.03,Left
2005,15.13,3.73,21.85,22.69,21.85,7.99,5.86,0.0,0.14,0.08,0.36,0.0,Right
2007,10.07,1.86,34.23,26.17,10.74,6.52,10.07,0.0,0.0,0.05,0.22,0.0,Right
2008,13.13,4.79,21.21,28.28,17.17,7.7,6.73,0.02,0.03,0.01,0.23,0.69,Right
2009,21.35,12.36,6.8,22.47,22.47,6.23,7.39,0.0,0.0,0.23,0.37,0.63,Right
2010,15.59,7.01,8.97,30.19,30.19,1.17,5.9,0.0,0.06,0.0,0.04,1.07,Right
