Name,Zone,Price,Surface,Zone_num
"Bilocale via padova 5, Pasteur, Milano",pasteur-rovereto,1750,55.0,3
"Bilocale via Giacosa, 53, Rovereto, Milano",pasteur-rovereto,900,50.0,3
"Bilocale via Temperanza, Pasteur, Milano",pasteur-rovereto,900,55.0,3
"Bilocale via dei Transiti 26, Pasteur, Milano",pasteur-rovereto,1150,65.0,3
"Bilocale viale Monza,78, Rovereto, Milano",pasteur-rovereto,1300,45.0,3
"Bilocale via Nino Oxilia,13, Pasteur, Milano",pasteur-rovereto,1450,54.0,3
"Bilocale via Martiri Oscuri,3, Rovereto, Milano",pasteur-rovereto,1500,60.0,3
"Bilocale via Privata Giulio Bergonzoli,3, Pasteur, Milano",pasteur-rovereto,2700,50.0,3
"Monolocale via delle Leghe,14, Pasteur, Milano",pasteur-rovereto,1300,38.0,3
"Bilocale via Padova,26, Pasteur, Milano",pasteur-rovereto,1400,42.0,3
"Bilocale piazzale Loreto,5, Pasteur, Milano",pasteur-rovereto,1600,50.0,3
"Trilocale via merano, 9, Rovereto, Milano",pasteur-rovereto,1150,75.0,3
"Trilocale via Ferrante Aporti, Pasteur, Milano",pasteur-rovereto,1500,60.0,3
"Monolocale viale Monza,83, Rovereto, Milano",pasteur-rovereto,1650,50.0,3
"Trilocale via Padova 49, Parco Trotter, Milano",pasteur-rovereto,1700,100.0,3
"Monolocale via dei Transiti 24, Pasteur, Milano",pasteur-rovereto,600,20.0,3
"Bilocale piazza Francesco Durante,36, Parco Trotter, Milano",pasteur-rovereto,1650,50.0,3
"Bilocale via Pietro Crespi 16, Rovereto, Milano",pasteur-rovereto,1300,50.0,3
"Bilocale via Marco Aurelio 6, Parco Trotter, Milano",pasteur-rovereto,900,55.0,3
"Quadrilocale via Bolzano, Rovereto, Milano",pasteur-rovereto,1280,110.0,3
"Bilocale via Merano, Rovereto, Milano",pasteur-rovereto,700,35.0,3
"Bilocale via Soperga, Centrale, Milano",pasteur-rovereto,1300,75.0,3
"Trilocale via Ferrante Aporti, Pasteur, Milano",pasteur-rovereto,1500,60.0,3
