Name,Zone,Price,Surface
"Bilocale via Francesco Cavezzali 11, Turro, Milano",precotto-turro,700,40
"Bilocale via Giovanni Livraghi 18, Villa San Giovanni, Milano",precotto-turro,1050,70
"Bilocale via Ernesto Breda 122, Villa San Giovanni, Milano",precotto-turro,700,40
"Bilocale via Privata della Torre, Turro, Milano",precotto-turro,880,40
"Bilocale via della Torre 3, Turro, Milano",precotto-turro,1000,40
"Bilocale via Esiodo 2, Precotto, Milano",precotto-turro,1050,48
"Bilocale via della Torre 9, Turro, Milano",precotto-turro,1200,63
"Quadrilocale via Empedocle 1, Villa San Giovanni, Milano",precotto-turro,1800,105
"Trilocale via Corrado Alvaro 11, Precotto, Milano",precotto-turro,1100,70
"Bilocale via Empedocle 16, Villa San Giovanni, Milano",precotto-turro,950,55
"Monolocale via fortezza 21, Villa San Giovanni, Milano",precotto-turro,790,42
"Trilocale via Recanati 3, Villa San Giovanni, Milano",precotto-turro,1500,87
"Trilocale via Matteo Maria Boiardo 5, Turro, Milano",precotto-turro,1700,75
"Trilocale via Galeno 22, Villa San Giovanni, Milano",precotto-turro,1600,140
"Bilocale via Talete 32, Villa San Giovanni, Milano",precotto-turro,1100,67
"Trilocale via Licurgo, Precotto, Milano",precotto-turro,1200,65
"Trilocale via Cislaghi 21, Precotto, Milano",precotto-turro,1500,100
"Bilocale via Alfredo Soffredini 53, Villa San Giovanni, Milano",precotto-turro,1100,54
"Bilocale via fortezza 21, Villa San Giovanni, Milano",precotto-turro,970,35
"Bilocale via Monte San Gabriele 3, Gorla, Milano",precotto-turro,3500,55
"Monolocale via Esiodo 12/14, Precotto, Milano",precotto-turro,700,38
"Bilocale via Boiardo, Turro, Milano",precotto-turro,970,45
"Bilocale via Matteo Maria Boiardo 23, Turro, Milano",precotto-turro,970,50
"Trilocale via Boiardo, Turro, Milano",precotto-turro,1250,75
"Trilocale via Matteo Maria Boiardo 5, Turro, Milano",precotto-turro,1700,80
"Bilocale via Gerolamo Rovetta 8, Turro, Milano",precotto-turro,950,62
