Name,Zone,Price,Surface
"Appartamento all'asta via Cardinale Giuseppe Mezzofanti 24/a, Milano",citta-studi-susa,474055,195
"Appartamento all'asta via Antonio Vallisneri 11, Milano",citta-studi-susa,297000,82
"Appartamento all'asta piazzale Susa 7, Milano",citta-studi-susa,147000,47
"Appartamento all'asta via Illirico 3, Milano",citta-studi-susa,78750,46
"Appartamento all'asta via Giovanni Pascoli 2, Milano",citta-studi-susa,89300,47
"Appartamento all'asta via Pompeo Cambiasi 8, Milano",citta-studi-susa,277500,116
"Appartamento all'asta via Illirico 3, Milano",citta-studi-susa,78750,46
"Appartamento all'asta via Cardinale Giuseppe Mezzofanti 24/a, Milano",citta-studi-susa,474055,134
"Appartamento all'asta via Cardinale Giuseppe Mezzofanti 24/A, Milano",citta-studi-susa,474055,196
"Appartamento all'asta via Giovanni Pascoli 4, Milano",citta-studi-susa,103785,66
"Appartamento all'asta via Illirico 3, Milano",citta-studi-susa,67830,51
"Appartamento all'asta via Vigilio Inama 20, Milano",citta-studi-susa,100800,72
"Appartamento all'asta via Illirico 3, Milano",citta-studi-susa,78750,50
"Appartamento all'asta via Pompeo Cambiasi 8, Milano",citta-studi-susa,277500,120
"Appartamento all'asta via Canaletto 10, Milano",citta-studi-susa,104571,74
"Appartamento all'asta via Giovanni Pascoli 2, Milano",citta-studi-susa,95900,72
"Appartamento all'asta via Giovanni Pascoli 4, Milano",citta-studi-susa,59940,36
"Appartamento all'asta via Illirico 3, Milano",citta-studi-susa,74518,53
"Appartamento all'asta via Dalmazio Birago 2, Milano",citta-studi-susa,79175,53
"Appartamento all'asta via Pompeo Cambiasi, 5, Milano",citta-studi-susa,88500,32
"Appartamento all'asta via Cardinal Mezzofanti , 24/a, Milano",citta-studi-susa,474055,160
"Appartamento all'asta via Giovanni Pascoli 2, Milano",citta-studi-susa,152440,103
"Appartamento all'asta via Cardinal Mezzofanti , 24/a, Milano",citta-studi-susa,664721,230
"Appartamento all'asta piazzale Susa 7, Milano",citta-studi-susa,147000,40
"Appartamento all'asta via Gian Battista Tiepolo  1, Milano",citta-studi-susa,119510,76
"Appartamento all'asta via Illirico 3, Milano",citta-studi-susa,76188,51
"Appartamento all'asta via Illirico 3, Milano",citta-studi-susa,79175,53
